Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf
Inf	47689.63857659236	44756.58549341693	43827.69230714398	43391.63254022258	42903.536107089545	42838.77812602902	42708.49826649288	42383.07610132206	42356.76326064608
Inf	28131.11832285068	25779.923437137415	24927.44528847818	24486.66669638048	24239.053499260754	23898.29089858005	24083.813398098315	24020.98535451278	23763.583354615606
Inf	21374.382421316364	19036.043476934974	18121.717585228842	17960.61303045146	17672.527111047413	17559.14056009282	17387.852544471865	17324.696823739236	17272.776186301675
Inf	18257.48436227847	15639.244659865786	14797.470372246777	14549.687646276909	14332.183086091767	14200.802063969215	14028.892696568742	13963.340949442832	13915.338676266852
Inf	16273.52326443739	13704.475640737443	12796.408573068951	12296.256256215838	12075.111218764418	12135.178795519392	11968.492615605723	11891.823255495641	11834.939824742421
Inf	15114.32174537977	12300.693716823798	11428.845541964269	10992.416225848458	10858.060459356484	10717.628656661987	10548.313486357849	10471.326008742315	10417.830616664709
Inf	14335.004403986744	11227.616065461374	10460.121946510299	9992.914966873848	9858.216160074504	9692.955531975	9518.23877394807	9440.483150062184	9381.645461988963
Inf	14039.972050667642	10577.122237795724	9719.163615911426	9238.61703865127	9082.706475572812	8909.75192535575	8729.550898640378	8655.564445556081	8592.83570269011
Inf	13905.51240743331	10082.973976005012	9145.266038939862	8751.122486753076	8513.471825474793	8240.029171504462	8220.781153391179	8150.044903913236	8082.068456105565
Inf	13869.407686408662	9705.675733342589	8712.810655878633	8273.864460197095	8022.514696323557	7844.816573152181	7713.271868588274	7629.015729083367	7564.393442513964
Inf	14187.18699191139	9473.377815941385	8325.438250225818	7892.0961390719995	7628.037398391231	7428.090556019727	7311.314906626181	7206.455979359577	7232.495762941578
Inf	14758.031290548748	9185.46661399767	8111.242460873851	7641.273718574322	7286.9521330351145	7156.257642708506	7037.69031030246	6929.494215399322	6867.146957047674
Inf	15666.865491201865	8978.895896819558	7879.629426407408	7344.315094783058	7076.131662957659	6905.321548614225	6774.137317651702	6644.894863612447	6629.140944415001
Inf	16854.06245232314	8951.957961665847	7601.52494035243	7129.974453010536	6834.119011100262	6640.3642899138695	6507.159533222391	6485.431230659355	6376.653760217635
Inf	18762.48369325752	8793.045966505846	7481.805131311053	6921.721489771058	6683.649847402401	6490.072838822676	6349.7139414520325	6247.500130022912	6170.418614942435
Inf	21624.465594759313	8833.137264433086	7396.979145057625	6837.93258085341	6495.364650008638	6294.55901865486	6210.002146252778	6101.013761415457	6023.1298003059865
Inf	26346.5566895744	8790.080316409065	7296.366724219155	6718.9230597587575	6400.343099087926	6176.557150525784	6028.361712965536	5919.826159068462	5825.92303328505
Inf	35695.90625173721	8847.891201840312	7198.686192645358	6595.735715459791	6234.156656337957	6008.9147326628645	5852.360564332337	5738.571079123756	5660.048352707632
Inf	62470.89467671999	8889.055074655227	7161.999630119162	6459.912802005302	6157.807668986754	5943.615188851194	5763.548398226729	5695.26915792639	5556.401006740569
Inf	Inf	9071.244082269928	7092.548225545082	6415.230848974457	6069.549239872153	5849.771234624854	5666.397969138543	5559.737359161761	5476.903519588929
Inf	Inf	9175.902933309031	7055.747590464376	6310.64062961588	5991.334610909999	5760.591885651234	5565.54769224871	5465.942752391282	5375.697664163933
Inf	Inf	9372.672045562778	7060.901068893938	6330.841495703886	5903.418414614538	5640.1410779713215	5483.127051936976	5413.452134905856	5279.994794022308
Inf	Inf	9561.761413363945	7087.295971867962	6273.994837035153	5833.138306991099	5570.679879664495	5404.1592120394225	5290.648470418121	5242.801640743471
Inf	Inf	9836.998294687211	7077.580545303866	6227.015364571118	5785.117794870101	5533.9794974201195	5345.401006695431	5230.544007807603	5131.7802837676045
Inf	Inf	10168.46408688719	7090.327324051678	6181.395302047236	5742.670469820337	5472.374891298838	5272.607519493764	5155.741125142928	5072.019290177708
Inf	Inf	10515.73108604662	7152.41563168216	6157.255213906002	5696.178836725384	5436.536930607912	5249.067546274624	5094.023002999101	5002.1036015905875
Inf	Inf	10956.91307666318	7179.425499676258	6174.520381684184	5655.479548743683	5385.887599868447	5189.862133009025	5031.558525860551	4933.799492996929
Inf	Inf	11482.780932334204	7222.979020568598	6159.440742569221	5623.206164341195	5348.999833261099	5159.245069863999	5010.946717410362	4887.261074462167
Inf	Inf	12112.423537139906	7290.764455192929	6157.896347913404	5600.697174836769	5313.9952706734675	5114.227633578701	4982.318528692373	4837.072033131645
Inf	Inf	12876.716368120884	7389.597152854503	6154.945965156447	5610.552585042854	5279.020655388681	5075.054031029089	4940.130863962544	4827.492159190241
Inf	Inf	13810.770811406424	7466.978450528711	6161.2347978754215	5592.259575617467	5253.900854790263	5048.574433484708	4899.248394848859	4784.2154442499805
Inf	Inf	14968.815030894573	7560.673864221546	6204.138196562229	5580.697336089606	5227.807028075578	5015.453007509412	4869.348461144955	4755.444238897022
Inf	Inf	16459.800340134218	7707.281652117279	6226.384806026724	5577.61571538802	5234.963134129872	4990.759360940529	4831.737801060361	4720.390798939239
Inf	Inf	18453.896223593154	7854.606579412416	6244.74260275138	5568.323386720313	5222.094158505457	4965.924183485213	4812.296726726316	4690.409582163238
Inf	Inf	21199.019525928954	7993.812512429036	6275.197515643247	5567.141779749112	5208.140253260006	4976.0352699689	4784.736045827278	4689.198742402133
Inf	Inf	25233.256946958507	8171.863374248866	6336.79173531871	5596.089391918228	5194.83710196557	4955.232078378568	4794.241337790757	4642.597585304309
Inf	Inf	31853.313877141056	8348.7605955616	6378.5606057223	5604.479249587796	5186.519054977842	4944.942125779762	4770.757088889879	4620.172864694222
